product_id,date,inbound_qty,inbound_count,outbound_qty,outbound_count,shortage_qty,shortage_count,current_stock_qty,product_name,category,price,category_code,date_ts,weekday_num,month,day,is_weekend,avg3_inbound_qty,avg3_outbound_qty,avg3_shortage_qty,avg7_inbound_qty,avg7_outbound_qty,avg7_shortage_qty,avg14_inbound_qty,avg14_outbound_qty,avg14_shortage_qty,prev_inbound_qty,prev_outbound_qty,target_next_inbound_qty
1,2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-02,3,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
1,2025-01-03,52.0,1.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-03,4,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-01-04,0.0,0.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-04,5,1,4,1,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,52.0,0.0,146.0
1,2025-01-05,146.0,1.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-05,6,1,5,1,17.333333333333332,0.0,0.0,17.333333333333332,0.0,0.0,17.333333333333332,0.0,0.0,0.0,0.0,0.0
1,2025-01-06,0.0,0.0,23.0,1.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-06,0,1,6,0,66.0,0.0,0.0,49.5,0.0,0.0,49.5,0.0,0.0,146.0,0.0,161.0
1,2025-01-07,161.0,1.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-07,1,1,7,0,48.666666666666664,7.666666666666667,0.0,39.6,4.6,0.0,39.6,4.6,0.0,0.0,23.0,0.0
1,2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-08,2,1,8,0,102.33333333333333,7.666666666666667,0.0,59.833333333333336,3.8333333333333335,0.0,59.833333333333336,3.8333333333333335,0.0,161.0,0.0,0.0
1,2025-01-09,0.0,0.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-09,3,1,9,0,53.666666666666664,7.666666666666667,0.0,51.285714285714285,3.2857142857142856,0.0,51.285714285714285,3.2857142857142856,0.0,0.0,0.0,140.0
1,2025-01-10,140.0,1.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-10,4,1,10,0,53.666666666666664,0.0,0.0,51.285714285714285,3.2857142857142856,0.0,44.875,2.875,0.0,0.0,0.0,81.0
1,2025-01-11,81.0,1.0,0.0,0.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-11,5,1,11,1,46.666666666666664,0.0,0.0,63.857142857142854,3.2857142857142856,0.0,55.44444444444444,2.5555555555555554,0.0,140.0,0.0,0.0
1,2025-01-12,0.0,0.0,3.0,1.0,0.0,0.0,87465,생수0,음료,41305,2,2025-01-12,6,1,12,1,73.66666666666667,0.0,0.0,75.42857142857143,3.2857142857142856,0.0,58.0,2.3,0.0,81.0,0.0,0.0
